1,2,3,4,5,6,7,8,9,label
43.0,0.0,81.0,-5.0,42.0,-1.0,37.0,39.0,2.0,0
51.0,-2.0,87.0,0.0,50.0,-13.0,36.0,38.0,2.0,0
56.0,4.0,91.0,0.0,56.0,6.0,35.0,34.0,0.0,0
37.0,0.0,104.0,-1.0,16.0,-5.0,67.0,88.0,22.0,0
37.0,0.0,78.0,0.0,2.0,11.0,42.0,75.0,34.0,0
41.0,0.0,88.0,0.0,42.0,1.0,47.0,47.0,0.0,0
44.0,1.0,108.0,0.0,44.0,3.0,64.0,64.0,0.0,0
37.0,0.0,100.0,0.0,30.0,-3.0,64.0,69.0,6.0,0
46.0,4.0,87.0,0.0,44.0,-19.0,41.0,43.0,2.0,0
42.0,-1.0,87.0,0.0,42.0,0.0,45.0,46.0,2.0,0
37.0,0.0,83.0,0.0,0.0,3.0,46.0,83.0,36.0,0
46.0,0.0,81.0,1.0,46.0,8.0,35.0,35.0,0.0,0
44.0,2.0,88.0,0.0,44.0,12.0,44.0,44.0,0.0,0
41.0,3.0,76.0,0.0,42.0,13.0,35.0,35.0,0.0,0
37.0,0.0,81.0,3.0,34.0,1.0,43.0,47.0,4.0,0
37.0,0.0,82.0,-3.0,8.0,0.0,45.0,74.0,30.0,0
44.0,0.0,86.0,-1.0,44.0,8.0,42.0,42.0,0.0,0
37.0,0.0,80.0,0.0,10.0,29.0,43.0,70.0,26.0,0
44.0,3.0,77.0,0.0,44.0,23.0,33.0,33.0,0.0,0
38.0,1.0,76.0,0.0,38.0,11.0,38.0,37.0,0.0,0
50.0,0.0,78.0,-6.0,50.0,0.0,29.0,29.0,0.0,0
46.0,0.0,100.0,0.0,44.0,-11.0,54.0,56.0,2.0,0
40.0,0.0,80.0,0.0,38.0,2.0,40.0,41.0,2.0,0
47.0,5.0,84.0,0.0,46.0,0.0,37.0,38.0,0.0,0
43.0,5.0,90.0,0.0,42.0,0.0,47.0,49.0,2.0,0
43.0,0.0,78.0,0.0,42.0,-1.0,35.0,37.0,2.0,0
45.0,0.0,81.0,0.0,46.0,5.0,36.0,35.0,0.0,0
37.0,0.0,77.0,7.0,16.0,7.0,40.0,61.0,22.0,0
45.0,0.0,86.0,7.0,44.0,0.0,42.0,42.0,0.0,0
41.0,-1.0,76.0,0.0,38.0,-14.0,35.0,37.0,2.0,0
45.0,1.0,76.0,-2.0,44.0,-4.0,31.0,32.0,0.0,0
41.0,0.0,84.0,2.0,38.0,-4.0,43.0,45.0,2.0,0
56.0,0.0,86.0,0.0,54.0,-30.0,30.0,32.0,2.0,0
37.0,0.0,77.0,-1.0,20.0,-4.0,40.0,56.0,16.0,0
44.0,0.0,82.0,-5.0,44.0,-1.0,38.0,38.0,0.0,0
39.0,-5.0,76.0,-1.0,-2.0,0.0,37.0,79.0,42.0,0
38.0,0.0,82.0,0.0,38.0,11.0,44.0,43.0,0.0,0
39.0,0.0,106.0,6.0,38.0,0.0,68.0,67.0,0.0,0
42.0,-3.0,86.0,0.0,42.0,0.0,45.0,45.0,0.0,0
44.0,-2.0,86.0,0.0,44.0,0.0,42.0,42.0,0.0,0
37.0,0.0,100.0,0.0,30.0,-11.0,64.0,69.0,6.0,0
48.0,-4.0,84.0,0.0,46.0,-1.0,36.0,38.0,2.0,0
57.0,0.0,88.0,0.0,56.0,0.0,31.0,31.0,0.0,0
47.0,0.0,88.0,-2.0,46.0,0.0,40.0,41.0,0.0,0
37.0,0.0,83.0,0.0,8.0,14.0,46.0,75.0,30.0,0
39.0,-1.0,78.0,-5.0,38.0,0.0,39.0,39.0,0.0,0
37.0,-1.0,79.0,-3.0,20.0,-7.0,42.0,58.0,16.0,0
37.0,0.0,104.0,0.0,18.0,21.0,67.0,86.0,18.0,0
44.0,0.0,85.0,0.0,44.0,16.0,41.0,41.0,0.0,0
38.0,-5.0,97.0,0.0,38.0,0.0,59.0,59.0,0.0,0
41.0,0.0,77.0,0.0,38.0,-1.0,37.0,39.0,2.0,0
45.0,0.0,88.0,0.0,44.0,-6.0,42.0,44.0,2.0,0
53.0,0.0,108.0,0.0,52.0,-7.0,55.0,56.0,2.0,0
51.0,4.0,79.0,0.0,52.0,14.0,27.0,27.0,0.0,0
39.0,0.0,76.0,-2.0,38.0,0.0,36.0,37.0,0.0,0
36.0,-5.0,81.0,0.0,36.0,0.0,45.0,45.0,0.0,0
56.0,1.0,86.0,0.0,54.0,-8.0,31.0,32.0,2.0,0
51.0,1.0,88.0,0.0,50.0,-7.0,36.0,39.0,2.0,0
58.0,2.0,86.0,0.0,56.0,0.0,28.0,29.0,2.0,0
46.0,1.0,86.0,0.0,44.0,-12.0,41.0,42.0,2.0,0
39.0,-1.0,79.0,-3.0,38.0,0.0,40.0,41.0,0.0,0
37.0,0.0,106.0,0.0,34.0,-1.0,69.0,72.0,4.0,0
44.0,-8.0,88.0,0.0,44.0,0.0,44.0,44.0,0.0,0
43.0,0.0,77.0,-2.0,42.0,0.0,34.0,35.0,2.0,0
40.0,4.0,90.0,0.0,38.0,0.0,49.0,51.0,2.0,0
37.0,0.0,83.0,0.0,8.0,19.0,47.0,75.0,28.0,0
45.0,0.0,81.0,0.0,46.0,19.0,36.0,35.0,0.0,0
59.0,0.0,87.0,0.0,60.0,18.0,28.0,28.0,0.0,0
37.0,0.0,82.0,0.0,26.0,-15.0,45.0,56.0,10.0,0
37.0,0.0,83.0,0.0,30.0,24.0,46.0,52.0,6.0,0
56.0,-5.0,107.0,0.0,56.0,3.0,51.0,50.0,0.0,0
37.0,0.0,80.0,4.0,28.0,0.0,43.0,52.0,8.0,0
49.0,3.0,88.0,0.0,50.0,0.0,39.0,39.0,0.0,0
36.0,3.0,75.0,0.0,36.0,0.0,39.0,39.0,0.0,0
42.0,5.0,102.0,0.0,42.0,0.0,60.0,60.0,0.0,0
42.0,0.0,86.0,-5.0,42.0,0.0,45.0,45.0,0.0,0
43.0,0.0,108.0,0.0,42.0,-2.0,64.0,66.0,2.0,0
55.0,-3.0,90.0,0.0,54.0,-12.0,34.0,35.0,2.0,0
44.0,0.0,75.0,-1.0,44.0,9.0,31.0,31.0,0.0,0
41.0,0.0,86.0,3.0,42.0,20.0,46.0,45.0,0.0,0
37.0,0.0,76.0,0.0,20.0,17.0,40.0,55.0,16.0,0
37.0,-54.0,106.0,-2.0,36.0,0.0,69.0,69.0,0.0,0
48.0,5.0,88.0,0.0,46.0,0.0,40.0,41.0,2.0,0
48.0,-3.0,80.0,0.0,46.0,-5.0,32.0,34.0,2.0,0
51.0,-4.0,84.0,0.0,50.0,-4.0,34.0,35.0,2.0,0
37.0,0.0,80.0,0.0,36.0,5.0,43.0,44.0,0.0,0
53.0,0.0,104.0,1.0,54.0,4.0,51.0,49.0,0.0,0
38.0,1.0,92.0,0.0,28.0,20.0,54.0,64.0,10.0,0
37.0,0.0,76.0,1.0,26.0,0.0,40.0,50.0,10.0,0
37.0,0.0,78.0,0.0,16.0,11.0,41.0,63.0,22.0,0
37.0,0.0,77.0,0.0,38.0,17.0,39.0,38.0,0.0,0
45.0,-1.0,77.0,-5.0,44.0,-8.0,32.0,33.0,0.0,0
41.0,0.0,106.0,0.0,38.0,0.0,65.0,67.0,2.0,0
37.0,0.0,76.0,4.0,28.0,-6.0,40.0,48.0,8.0,0
48.0,0.0,87.0,8.0,46.0,0.0,39.0,41.0,2.0,0
45.0,2.0,79.0,0.0,46.0,29.0,33.0,32.0,0.0,0
37.0,0.0,95.0,0.0,28.0,29.0,58.0,67.0,8.0,0
37.0,0.0,77.0,0.0,26.0,0.0,41.0,52.0,10.0,0
37.0,4.0,81.0,0.0,36.0,-2.0,43.0,44.0,2.0,0
37.0,0.0,77.0,0.0,24.0,-16.0,40.0,54.0,14.0,0
42.0,2.0,77.0,8.0,42.0,0.0,35.0,36.0,0.0,0
46.0,0.0,91.0,5.0,46.0,0.0,45.0,44.0,0.0,0
37.0,0.0,76.0,-5.0,36.0,-15.0,39.0,40.0,2.0,0
37.0,0.0,77.0,0.0,6.0,-10.0,40.0,72.0,32.0,0
46.0,0.0,83.0,-1.0,44.0,-25.0,37.0,39.0,2.0,0
43.0,0.0,81.0,-1.0,42.0,-13.0,37.0,39.0,2.0,0
37.0,0.0,78.0,0.0,2.0,-13.0,41.0,75.0,34.0,0
37.0,0.0,77.0,6.0,36.0,-7.0,39.0,41.0,2.0,0
37.0,0.0,108.0,2.0,36.0,0.0,70.0,71.0,2.0,0
43.0,-1.0,77.0,0.0,42.0,0.0,34.0,35.0,2.0,0
45.0,0.0,87.0,2.0,44.0,-19.0,42.0,43.0,2.0,0
51.0,-2.0,77.0,0.0,50.0,-13.0,26.0,28.0,2.0,0
44.0,0.0,81.0,0.0,44.0,21.0,38.0,37.0,0.0,0
37.0,0.0,105.0,-4.0,16.0,-21.0,68.0,89.0,22.0,0
44.0,0.0,81.0,0.0,42.0,-18.0,38.0,40.0,2.0,0
37.0,0.0,105.0,0.0,30.0,-8.0,68.0,74.0,6.0,0
37.0,0.0,76.0,144.0,20.0,0.0,40.0,55.0,16.0,0
39.0,-2.0,79.0,0.0,38.0,0.0,40.0,41.0,0.0,0
47.0,5.0,82.0,0.0,46.0,0.0,35.0,35.0,0.0,0
43.0,0.0,79.0,4.0,42.0,0.0,37.0,38.0,2.0,0
42.0,2.0,86.0,0.0,42.0,0.0,44.0,45.0,0.0,0
49.0,0.0,82.0,0.0,46.0,-8.0,33.0,35.0,2.0,0
41.0,0.0,76.0,-2.0,38.0,0.0,35.0,37.0,2.0,0
37.0,0.0,76.0,0.0,26.0,0.0,39.0,50.0,10.0,0
37.0,0.0,77.0,0.0,0.0,0.0,41.0,77.0,36.0,0
49.0,1.0,80.0,0.0,50.0,21.0,31.0,31.0,0.0,0
37.0,0.0,84.0,0.0,26.0,9.0,47.0,58.0,10.0,0
41.0,0.0,77.0,0.0,42.0,10.0,36.0,35.0,0.0,0
44.0,0.0,84.0,0.0,44.0,4.0,40.0,41.0,0.0,0
37.0,0.0,76.0,0.0,26.0,17.0,40.0,50.0,10.0,0
56.0,0.0,80.0,0.0,54.0,-9.0,24.0,26.0,2.0,0
56.0,1.0,86.0,0.0,56.0,8.0,30.0,29.0,0.0,0
37.0,0.0,79.0,0.0,8.0,-12.0,43.0,72.0,28.0,0
37.0,3.0,98.0,0.0,34.0,6.0,61.0,64.0,4.0,0
46.0,0.0,83.0,-6.0,46.0,0.0,37.0,37.0,0.0,0
37.0,0.0,80.0,0.0,8.0,23.0,43.0,72.0,28.0,0
37.0,0.0,104.0,0.0,16.0,-16.0,67.0,89.0,22.0,0
43.0,0.0,83.0,0.0,44.0,30.0,40.0,39.0,0.0,0
41.0,-2.0,86.0,0.0,42.0,11.0,46.0,45.0,0.0,0
53.0,2.0,79.0,0.0,54.0,28.0,26.0,24.0,0.0,0
44.0,1.0,93.0,0.0,44.0,3.0,50.0,50.0,0.0,0
37.0,-1.0,106.0,-15.0,28.0,0.0,69.0,78.0,8.0,0
42.0,2.0,76.0,0.0,42.0,0.0,34.0,35.0,2.0,0
39.0,0.0,85.0,2.0,38.0,0.0,46.0,46.0,0.0,0
44.0,4.0,76.0,0.0,42.0,-14.0,32.0,34.0,2.0,0
52.0,-3.0,86.0,0.0,52.0,0.0,34.0,34.0,0.0,0
45.0,0.0,81.0,0.0,46.0,27.0,36.0,35.0,0.0,0
43.0,0.0,86.0,-3.0,42.0,0.0,42.0,44.0,2.0,0
37.0,0.0,79.0,0.0,8.0,8.0,42.0,71.0,28.0,0
43.0,-1.0,77.0,0.0,42.0,-4.0,34.0,35.0,2.0,0
41.0,1.0,84.0,0.0,38.0,-22.0,43.0,45.0,2.0,0
53.0,-2.0,83.0,0.0,52.0,-19.0,30.0,32.0,2.0,0
52.0,5.0,79.0,0.0,52.0,0.0,26.0,27.0,0.0,0
55.0,0.0,88.0,-2.0,54.0,0.0,34.0,34.0,0.0,0
37.0,0.0,77.0,0.0,26.0,-27.0,40.0,51.0,10.0,0
43.0,0.0,85.0,5.0,44.0,14.0,42.0,41.0,0.0,0
41.0,0.0,83.0,0.0,38.0,-21.0,42.0,44.0,2.0,0
40.0,1.0,102.0,0.0,38.0,0.0,62.0,63.0,2.0,0
44.0,2.0,83.0,5.0,44.0,12.0,40.0,39.0,0.0,0
41.0,0.0,89.0,0.0,38.0,-23.0,48.0,50.0,2.0,0
45.0,0.0,86.0,1.0,44.0,-3.0,41.0,42.0,2.0,0
37.0,-4.0,77.0,0.0,36.0,0.0,40.0,41.0,0.0,0
51.0,0.0,81.0,0.0,52.0,4.0,29.0,29.0,0.0,0
43.0,0.0,81.0,-4.0,44.0,30.0,37.0,37.0,0.0,0
43.0,0.0,86.0,-2.0,42.0,0.0,43.0,45.0,2.0,0
45.0,-5.0,81.0,0.0,44.0,-3.0,36.0,37.0,2.0,0
42.0,0.0,86.0,6.0,42.0,0.0,43.0,44.0,2.0,0
55.0,1.0,79.0,0.0,54.0,0.0,23.0,24.0,2.0,0
53.0,0.0,79.0,0.0,52.0,-11.0,26.0,27.0,2.0,0
46.0,1.0,81.0,0.0,44.0,-23.0,35.0,37.0,2.0,0
37.0,0.0,74.0,0.0,34.0,10.0,37.0,41.0,4.0,0
44.0,3.0,76.0,-1.0,44.0,1.0,32.0,32.0,0.0,0
45.0,0.0,84.0,1.0,46.0,22.0,39.0,38.0,0.0,0
37.0,0.0,75.0,0.0,18.0,-18.0,38.0,57.0,18.0,0
68.0,0.0,111.0,-4.0,68.0,0.0,43.0,44.0,0.0,0
37.0,0.0,104.0,6.0,18.0,0.0,66.0,86.0,20.0,0
37.0,0.0,104.0,-14.0,28.0,0.0,67.0,75.0,8.0,0
43.0,0.0,87.0,0.0,42.0,-10.0,44.0,46.0,2.0,0
52.0,0.0,88.0,0.0,54.0,31.0,35.0,33.0,0.0,0
45.0,0.0,79.0,0.0,44.0,-14.0,34.0,35.0,2.0,0
49.0,-2.0,78.0,0.0,50.0,12.0,29.0,29.0,0.0,0
47.0,4.0,82.0,-1.0,46.0,0.0,34.0,35.0,0.0,0
37.0,0.0,106.0,0.0,34.0,-7.0,69.0,72.0,4.0,0
42.0,4.0,78.0,-3.0,42.0,0.0,36.0,37.0,2.0,0
56.0,3.0,79.0,0.0,56.0,3.0,23.0,23.0,0.0,0
50.0,-1.0,102.0,0.0,50.0,0.0,52.0,53.0,0.0,0
41.0,3.0,86.0,0.0,42.0,6.0,45.0,44.0,0.0,0
42.0,-1.0,87.0,-5.0,42.0,-7.0,45.0,46.0,0.0,0
46.0,0.0,83.0,0.0,44.0,-19.0,37.0,39.0,2.0,0
47.0,5.0,82.0,-2.0,46.0,0.0,34.0,35.0,0.0,0
41.0,0.0,76.0,-4.0,38.0,0.0,35.0,37.0,2.0,0
36.0,0.0,80.0,0.0,36.0,0.0,44.0,44.0,0.0,0
46.0,0.0,109.0,0.0,46.0,0.0,63.0,63.0,0.0,0
37.0,0.0,77.0,5.0,20.0,-2.0,40.0,56.0,16.0,0
37.0,-27.0,106.0,0.0,34.0,28.0,69.0,72.0,4.0,0
49.0,0.0,77.0,0.0,46.0,-21.0,28.0,30.0,2.0,0
50.0,3.0,85.0,0.0,50.0,0.0,36.0,36.0,0.0,0
45.0,0.0,109.0,0.0,44.0,0.0,64.0,66.0,2.0,0
46.0,0.0,81.0,-5.0,46.0,0.0,35.0,34.0,0.0,0
37.0,0.0,78.0,0.0,-4.0,18.0,41.0,83.0,42.0,0
51.0,0.0,85.0,0.0,50.0,-28.0,34.0,36.0,2.0,0
38.0,-5.0,100.0,0.0,38.0,0.0,62.0,62.0,0.0,0
49.0,-4.0,100.0,-2.0,50.0,2.0,52.0,51.0,0.0,0
39.0,2.0,77.0,0.0,38.0,0.0,37.0,38.0,0.0,0
44.0,0.0,97.0,1.0,42.0,-23.0,53.0,55.0,2.0,0
53.0,0.0,88.0,0.0,54.0,0.0,35.0,34.0,0.0,0
44.0,3.0,107.0,0.0,44.0,1.0,63.0,63.0,0.0,0
56.0,-1.0,90.0,-1.0,54.0,-30.0,34.0,35.0,2.0,0
49.0,0.0,79.0,0.0,50.0,30.0,30.0,30.0,0.0,0
38.0,0.0,90.0,0.0,38.0,3.0,52.0,51.0,0.0,0
45.0,0.0,81.0,-2.0,44.0,-3.0,36.0,37.0,0.0,0
37.0,5.0,75.0,0.0,18.0,0.0,38.0,57.0,18.0,0
44.0,-21.0,88.0,0.0,44.0,0.0,44.0,44.0,0.0,0
37.0,0.0,80.0,0.0,20.0,-3.0,43.0,59.0,16.0,0
37.0,0.0,90.0,9.0,6.0,0.0,53.0,85.0,32.0,0
51.0,5.0,77.0,0.0,50.0,0.0,27.0,28.0,2.0,0
57.0,2.0,90.0,0.0,56.0,0.0,33.0,33.0,0.0,0
37.0,0.0,75.0,0.0,24.0,30.0,38.0,52.0,14.0,0
46.0,0.0,79.0,1.0,46.0,12.0,33.0,32.0,0.0,0
53.0,0.0,86.0,0.0,52.0,-6.0,33.0,35.0,2.0,0
53.0,0.0,103.0,0.0,52.0,-17.0,50.0,51.0,2.0,0
50.0,-5.0,84.0,0.0,50.0,0.0,33.0,35.0,2.0,0
43.0,0.0,89.0,0.0,42.0,-2.0,46.0,48.0,2.0,0
48.0,0.0,81.0,0.0,50.0,30.0,33.0,32.0,0.0,0
45.0,0.0,82.0,6.0,44.0,0.0,37.0,38.0,0.0,0
37.0,0.0,83.0,0.0,28.0,12.0,46.0,54.0,8.0,0
50.0,-3.0,77.0,0.0,50.0,0.0,28.0,28.0,0.0,0
48.0,0.0,77.0,0.0,46.0,-7.0,28.0,30.0,2.0,0
51.0,0.0,91.0,0.0,52.0,0.0,40.0,39.0,0.0,0
49.0,0.0,77.0,0.0,50.0,26.0,28.0,28.0,0.0,0
44.0,0.0,75.0,-1.0,44.0,10.0,31.0,31.0,0.0,0
56.0,2.0,97.0,0.0,54.0,3.0,40.0,42.0,2.0,0
37.0,0.0,105.0,0.0,30.0,-1.0,68.0,74.0,6.0,0
37.0,-1.0,78.0,-2.0,16.0,0.0,41.0,63.0,22.0,0
37.0,0.0,78.0,6.0,36.0,23.0,41.0,42.0,0.0,0
46.0,4.0,77.0,0.0,44.0,-8.0,32.0,34.0,2.0,0
37.0,0.0,76.0,4.0,28.0,0.0,39.0,48.0,8.0,0
56.0,0.0,95.0,0.0,54.0,2.0,40.0,41.0,2.0,0
39.0,3.0,80.0,5.0,38.0,0.0,41.0,41.0,0.0,0
37.0,0.0,78.0,0.0,6.0,12.0,41.0,73.0,32.0,0
50.0,3.0,84.0,0.0,50.0,0.0,34.0,35.0,2.0,0
55.0,0.0,83.0,-1.0,54.0,0.0,28.0,29.0,2.0,0
52.0,2.0,77.0,0.0,52.0,0.0,25.0,25.0,0.0,0
49.0,0.0,81.0,0.0,50.0,-4.0,32.0,32.0,0.0,0
51.0,0.0,102.0,0.0,52.0,11.0,51.0,50.0,0.0,0
44.0,3.0,87.0,-4.0,44.0,2.0,43.0,43.0,0.0,0
44.0,4.0,77.0,0.0,44.0,0.0,33.0,33.0,0.0,0
50.0,-1.0,87.0,0.0,50.0,0.0,37.0,38.0,2.0,0
37.0,0.0,75.0,0.0,20.0,9.0,38.0,54.0,16.0,0
50.0,3.0,78.0,-3.0,50.0,0.0,28.0,29.0,2.0,0
47.0,0.0,85.0,2.0,46.0,0.0,38.0,39.0,0.0,0
39.0,-4.0,97.0,0.0,38.0,0.0,58.0,59.0,0.0,0
37.0,-2.0,77.0,8.0,-2.0,0.0,39.0,79.0,40.0,0
43.0,-1.0,79.0,0.0,44.0,17.0,35.0,35.0,0.0,0
52.0,-2.0,81.0,0.0,54.0,31.0,29.0,27.0,0.0,0
37.0,0.0,79.0,0.0,10.0,20.0,42.0,68.0,26.0,0
45.0,5.0,79.0,0.0,44.0,-4.0,33.0,35.0,2.0,0
46.0,0.0,82.0,0.0,44.0,-14.0,36.0,38.0,2.0,0
42.0,-1.0,86.0,0.0,42.0,0.0,45.0,45.0,0.0,0
37.0,0.0,82.0,1.0,18.0,-17.0,45.0,64.0,18.0,0
41.0,5.0,79.0,0.0,38.0,-5.0,38.0,40.0,2.0,0
45.0,4.0,82.0,1.0,44.0,0.0,37.0,38.0,0.0,0
37.0,0.0,79.0,0.0,8.0,15.0,42.0,71.0,28.0,0
55.0,4.0,91.0,0.0,54.0,0.0,35.0,37.0,2.0,0
46.0,0.0,88.0,1.0,46.0,3.0,42.0,41.0,0.0,0
49.0,-3.0,84.0,0.0,50.0,13.0,35.0,35.0,0.0,0
37.0,0.0,77.0,-7.0,34.0,0.0,40.0,43.0,2.0,0
37.0,0.0,107.0,0.0,30.0,13.0,70.0,76.0,6.0,0
37.0,0.0,97.0,0.0,20.0,-14.0,60.0,77.0,16.0,0
46.0,0.0,84.0,-3.0,46.0,0.0,38.0,37.0,0.0,0
44.0,0.0,77.0,0.0,42.0,-28.0,33.0,35.0,2.0,0
56.0,0.0,82.0,0.0,56.0,11.0,26.0,25.0,0.0,0
54.0,0.0,81.0,4.0,54.0,0.0,27.0,27.0,0.0,0
49.0,-5.0,83.0,0.0,50.0,0.0,33.0,33.0,0.0,0
37.0,0.0,76.0,-1.0,36.0,0.0,39.0,39.0,0.0,0
46.0,0.0,77.0,6.0,46.0,0.0,31.0,31.0,0.0,0
46.0,4.0,93.0,0.0,46.0,0.0,47.0,47.0,0.0,0
37.0,-4.0,77.0,0.0,36.0,-24.0,39.0,41.0,2.0,0
37.0,0.0,80.0,0.0,8.0,21.0,43.0,72.0,30.0,0
44.0,0.0,81.0,0.0,44.0,5.0,37.0,37.0,0.0,0
47.0,0.0,83.0,0.0,46.0,0.0,35.0,36.0,0.0,0
37.0,0.0,75.0,0.0,26.0,30.0,38.0,49.0,12.0,0
38.0,0.0,90.0,0.0,8.0,3.0,52.0,82.0,30.0,0
41.0,0.0,106.0,0.0,42.0,1.0,65.0,65.0,0.0,0
49.0,-1.0,84.0,0.0,50.0,4.0,36.0,35.0,0.0,0
37.0,1.0,82.0,-3.0,34.0,0.0,45.0,48.0,4.0,0
55.0,0.0,83.0,0.0,56.0,31.0,27.0,26.0,0.0,0
37.0,0.0,79.0,-3.0,20.0,-6.0,43.0,59.0,16.0,0
44.0,0.0,76.0,-2.0,44.0,7.0,32.0,32.0,0.0,0
37.0,-1.0,80.0,5.0,24.0,0.0,43.0,57.0,14.0,0
50.0,3.0,84.0,0.0,50.0,0.0,35.0,35.0,0.0,0
50.0,3.0,87.0,0.0,50.0,0.0,37.0,38.0,2.0,0
45.0,5.0,81.0,3.0,44.0,0.0,37.0,37.0,0.0,0
37.0,-2.0,107.0,0.0,36.0,-23.0,69.0,71.0,2.0,0
37.0,0.0,79.0,-6.0,2.0,0.0,43.0,77.0,34.0,0
49.0,1.0,77.0,0.0,50.0,18.0,28.0,28.0,0.0,0
36.0,0.0,80.0,-1.0,36.0,0.0,44.0,44.0,0.0,0
56.0,0.0,81.0,0.0,56.0,6.0,25.0,24.0,0.0,0
38.0,0.0,76.0,0.0,38.0,2.0,38.0,37.0,0.0,0
48.0,-1.0,86.0,0.0,46.0,0.0,38.0,39.0,2.0,0
51.0,4.0,86.0,0.0,52.0,16.0,35.0,34.0,0.0,0
38.0,1.0,96.0,0.0,38.0,6.0,58.0,57.0,0.0,0
41.0,0.0,87.0,8.0,42.0,30.0,46.0,46.0,0.0,0
37.0,0.0,79.0,0.0,36.0,-7.0,41.0,43.0,2.0,0
42.0,-1.0,86.0,-4.0,42.0,-6.0,44.0,45.0,2.0,0
52.0,4.0,88.0,0.0,52.0,-4.0,35.0,36.0,0.0,0
49.0,0.0,81.0,0.0,46.0,-9.0,33.0,35.0,2.0,0
46.0,1.0,77.0,0.0,44.0,-13.0,31.0,33.0,2.0,0
44.0,1.0,81.0,0.0,44.0,4.0,37.0,37.0,0.0,0
37.0,0.0,93.0,0.0,12.0,3.0,56.0,81.0,24.0,0
51.0,3.0,78.0,0.0,52.0,13.0,27.0,26.0,0.0,0
45.0,0.0,79.0,-1.0,44.0,-13.0,33.0,35.0,2.0,0
53.0,0.0,81.0,0.0,54.0,1.0,27.0,26.0,0.0,0
37.0,0.0,79.0,0.0,10.0,-23.0,42.0,68.0,26.0,0
55.0,-1.0,89.0,-4.0,54.0,0.0,34.0,35.0,0.0,0
44.0,0.0,80.0,4.0,44.0,3.0,36.0,36.0,0.0,0
38.0,5.0,79.0,0.0,36.0,0.0,41.0,43.0,2.0,0
44.0,1.0,78.0,0.0,42.0,-30.0,34.0,37.0,2.0,0
40.0,0.0,85.0,-1.0,38.0,0.0,45.0,46.0,2.0,0
45.0,-1.0,83.0,0.0,46.0,3.0,37.0,36.0,0.0,0
